target,english,category,ipa_target,ipa_english
a mișca,to move,verb,/a miʃ.ˈka/,/tuː muːv/
a tăia,to cut,verb,/a tə.ˈja/,/tuː kʌt/
a adăuga,to add,verb,/a a.dəw.ˈɡa/,/tuː æd/
a ține,to hold,verb,/a ˈt͡si.ne/,/tuː hoʊld/
a purta,to carry/wear,verb,/a pur.ˈta/,/tuː ˈkæri | wer/
a împărți,to share/divide,verb,/a ɨm.pər.ˈt͡si/,/tuː ʃer | dɪˈvaɪd/
a compara,to compare,verb,/a kom.pa.ˈra/,/tuː kəmˈper/
a număra,to count,verb,/a nu.mə.ˈra/,/tuː kaʊnt/
om,person/man,noun,/om/,/ˈpɜːrsən | mæn/
bărbat,man,noun,/bər.ˈbat/,/mæn/
femeie,woman,noun,/fe.ˈme.je/,/ˈwʊmən/
copil,child,noun,/ko.ˈpil/,/tʃaɪld/
prieten,friend,noun,/pri.ˈe.ten/,/frend/
familie,family,noun,/fa.ˈmi.li.e/,/ˈfæməli/
mamă,mother,noun,/ˈma.mə/,/ˈmʌðər/
tată,father,noun,/ˈta.tə/,/ˈfɑːðər/
frate,brother,noun,/ˈfra.te/,/ˈbrʌðər/
soră,sister,noun,/ˈso.rə/,/ˈsɪstər/
fiu,son,noun,/fiw/,/sʌn/
fiică,daughter,noun,/ˈfi.i.kə/,/ˈdɔːtər/
soț,husband,noun,/sot͡s/,/ˈhʌzbənd/
soție,wife,noun,/ˈso.t͡si.e/,/waɪf/
vecin,neighbor,noun,/ve.ˈt͡ʃin/,/ˈneɪbər/
doctor,doctor,noun,/ˈdok.tor/,/ˈdɒktər/
profesor,teacher/professor,noun,/pro.ˈfe.sor/,/ˈtiːtʃər | prəˈfesər/
student,student,noun,/stu.ˈdent/,/ˈstjuːdənt/
elev,pupil,noun,/e.ˈlev/,/ˈpjuːpəl/
cap,head,noun,/kap/,/hed/
mână,hand,noun,/ˈmɨ.nə/,/hænd/
picior,leg/foot,noun,/pi.ˈt͡ʃor/,/leɡ | fʊt/
ochi,eye,noun,/ˈokʲ/,/aɪ/
gură,mouth,noun,/ˈɡu.rə/,/maʊθ/
inimă,heart,noun,/ˈi.ni.mə/,/hɑːrt/
corp,body,noun,/korp/,/ˈbɒdi/
față,face,noun,/ˈfa.t͡sə/,/feɪs/
nas,nose,noun,/nas/,/noʊz/
ureche,ear,noun,/u.ˈre.ke/,/ɪər/
braț,arm,noun,/brat͡s/,/ɑːrm/
deget,finger,noun,/ˈde.d͡ʒet/,/ˈfɪŋɡər/
casă,house,noun,/ˈka.sə/,/haʊs/
școală,school,noun,/ˈʃko̯a.lə/,/skuːl/
stradă,street,noun,/ˈstra.də/,/striːt/
oraș,city,noun,/o.ˈraʃ/,/ˈsɪti/
țară,country,noun,/ˈt͡sa.rə/,/ˈkʌntri/
sat,village,noun,/sat/,/ˈvɪlɪdʒ/
cameră,room,noun,/ˈka.me.rə/,/ruːm/
piață,market/square,noun,/ˈpja.t͡sə/,/ˈmɑːrkɪt | skwer/
magazin,store,noun,/ma.ɡa.ˈzin/,/stɔːr/
restaurant,restaurant,noun,/res.taw.ˈrant/,/ˈrestrɒnt/
hotel,hotel,noun,/ho.ˈtel/,/hoʊˈtel/
spital,hospital,noun,/spi.ˈtal/,/ˈhɒspɪtəl/
biserică,church,noun,/bi.ˈse.ri.kə/,/tʃɜːrtʃ/
birou,office/desk,noun,/bi.ˈrow/,/ˈɒfɪs | desk/
parc,park,noun,/park/,/pɑːrk/
grădină,garden,noun,/ɡrə.ˈdi.nə/,/ˈɡɑːrdən/
drum,road,noun,/drum/,/roʊd/
pod,bridge,noun,/pod/,/brɪdʒ/
apă,water,noun,/ˈa.pə/,/ˈwɔːtər/
soare,sun,noun,/ˈso̯a.re/,/sʌn/
lună,moon/month,noun,/ˈlu.nə/,/muːn | mʌnθ/
cer,sky,noun,/t͡ʃer/,/skaɪ/
pământ,earth/ground,noun,/pə.ˈmɨnt/,/ɜːrθ | ɡraʊnd/
copac,tree,noun,/ko.ˈpak/,/triː/
floare,flower,noun,/ˈflo̯a.re/,/ˈflaʊər/
animal,animal,noun,/a.ni.ˈmal/,/ˈænɪməl/
câine,dog,noun,/ˈkɨj.ne/,/dɒɡ/
pisică,cat,noun,/pi.ˈsi.kə/,/kæt/
pasăre,bird,noun,/ˈpa.sə.re/,/bɜːrd/
pește,fish,noun,/ˈpeʃ.te/,/fɪʃ/
munte,mountain,noun,/ˈmun.te/,/ˈmaʊntɪn/
mare,sea,noun,/ˈma.re/,/siː/
râu,river,noun,/rɨw/,/ˈrɪvər/
lac,lake,noun,/lak/,/leɪk/
pădure,forest,noun,/pə.ˈdu.re/,/ˈfɒrɪst/
vânt,wind,noun,/vɨnt/,/wɪnd/
ploaie,rain,noun,/ˈplo̯a.je/,/reɪn/
zăpadă,snow,noun,/ˈzə.pa.də/,/snoʊ/
timp,time,noun,/timp/,/taɪm/
zi,day,noun,/zi/,/deɪ/
noapte,night,noun,/ˈno̯ap.te/,/naɪt/
an,year,noun,/an/,/jɪər/
oră,hour,noun,/ˈo.rə/,/aʊər/
săptămână,week,noun,/səp.tə.ˈmɨ.nə/,/wiːk/
dimineață,morning,noun,/di.mi.ˈne̯a.t͡sə/,/ˈmɔːrnɪŋ/
seară,evening,noun,/ˈse̯a.rə/,/ˈiːvnɪŋ/
minut,minute,noun,/mi.ˈnut/,/ˈmɪnɪt/
moment,moment,noun,/mo.ˈment/,/ˈmoʊmənt/
trecut,past,noun,/tre.ˈkut/,/pæst/
viitor,future,noun,/vi.i.ˈtor/,/ˈfjuːtʃər/
mâncare,food,noun,/mɨn.ˈka.re/,/fuːd/
pâine,bread,noun,/ˈpɨj.ne/,/bred/
carne,meat,noun,/ˈkar.ne/,/miːt/
lapte,milk,noun,/ˈlap.te/,/mɪlk/
fruct,fruit,noun,/frukt/,/fruːt/
legumă,vegetable,noun,/le.ˈɡu.mə/,/ˈvedʒtəbəl/
masă,table/meal,noun,/ˈma.sə/,/ˈteɪbəl | miːl/
carte,book,noun,/ˈkar.te/,/bʊk/
ușă,door,noun,/ˈu.ʃə/,/dɔːr/
fereastră,window,noun,/fe.ˈre̯as.trə/,/ˈwɪndoʊ/
scaun,chair,noun,/ˈska.un/,/tʃer/
pat,bed,noun,/pat/,/bed/
telefon,telephone,noun,/te.le.ˈfon/,/ˈtelɪfoʊn/
cheie,key,noun,/ˈke.je/,/kiː/
lucru,thing/work,noun,/ˈlu.kru/,/θɪŋ | wɜːrk/
problemă,problem,noun,/pro.ˈble.mə/,/ˈprɒbləm/
viață,life,noun,/ˈvja.t͡sə/,/laɪf/
moarte,death,noun,/ˈmo̯ar.te/,/deθ/
dragoste,love,noun,/ˈdra.ɡos.te/,/lʌv/
bucurie,joy,noun,/bu.ku.ˈri.e/,/dʒɔɪ/
muncă,work,noun,/ˈmun.kə/,/wɜːrk/
bani,money,noun,/banʲ/,/ˈmʌni/
cuvânt,word,noun,/ku.ˈvɨnt/,/wɜːrd/
limbă,language/tongue,noun,/ˈlim.bə/,/ˈlæŋɡwɪdʒ | tʌŋ/
nume,name,noun,/ˈnu.me/,/neɪm/
lege,law,noun,/ˈle.d͡ʒe/,/lɔː/
idee,idea,noun,/i.ˈde.e/,/aɪˈdɪə/
parte,part,noun,/ˈpar.te/,/pɑːrt/
loc,place,noun,/lok/,/pleɪs/
mod,way/manner,noun,/mod/,/weɪ | ˈmænər/
scop,purpose,noun,/skop/,/ˈpɜːrpəs/
motiv,reason,noun,/mo.ˈtiv/,/ˈriːzən/
adevăr,truth,noun,/a.de.ˈvər/,/truːθ/
putere,power,noun,/pu.ˈte.re/,/ˈpaʊər/
pace,peace,noun,/ˈpa.t͡ʃe/,/piːs/
război,war,noun,/rəz.ˈboj/,/wɔːr/
lume,world,noun,/ˈlu.me/,/wɜːrld/
mașină,car,noun,/ma.ˈʃi.nə/,/kɑːr/
băiat,boy,noun,/bə.ˈjat/,/bɔɪ/
bun,good,adjective,/bun/,/ɡʊd/
rău,bad,adjective,/rəw/,/bæd/
mare,big,adjective,/ˈma.re/,/bɪɡ/
mic,small,adjective,/mik/,/smɔːl/
nou,new,adjective,/now/,/njuː/
vechi,old,adjective,/vekʲ/,/oʊld/
bătrân,elderly,adjective,/bə.ˈtrɨn/,/ˈeldərli/
tânăr,young,adjective,/ˈtɨ.nər/,/jʌŋ/
frumos,beautiful,adjective,/fru.ˈmos/,/ˈbjuːtɪfəl/
urât,ugly,adjective,/u.ˈrɨt/,/ˈʌɡli/
lung,long,adjective,/lunɡ/,/lɒŋ/
scurt,short,adjective,/skurt/,/ʃɔːrt/
înalt,tall,adjective,/ɨ.ˈnalt/,/tɔːl/
greu,heavy/difficult,adjective,/ɡrew/,/ˈhevi | ˈdɪfɪkəlt/
ușor,easy/light,adjective,/u.ˈʃor/,/ˈiːzi | laɪt/
cald,warm,adjective,/kald/,/wɔːrm/
rece,cold,adjective,/ˈre.t͡ʃe/,/koʊld/
frig,cold (weather),adjective,/friɡ/,/koʊld/
bogat,rich,adjective,/bo.ˈɡat/,/rɪtʃ/
sărac,poor,adjective,/sə.ˈrak/,/pʊər/
fericit,happy,adjective,/fe.ri.ˈt͡ʃit/,/ˈhæpi/
trist,sad,adjective,/trist/,/sæd/
bolnav,sick,adjective,/bol.ˈnav/,/sɪk/
sănătos,healthy,adjective,/sə.nə.ˈtos/,/ˈhelθi/
puternic,strong,adjective,/pu.ˈter.nik/,/strɒŋ/
slab,weak,adjective,/slab/,/wiːk/
rapid,fast,adjective,/ˈra.pid/,/fɑːst/
lent,slow,adjective,/lent/,/sloʊ/
ieftin,cheap,adjective,/jef.ˈtin/,/tʃiːp/
scump,expensive,adjective,/skump/,/ɪkˈspensɪv/
plin,full,adjective,/plin/,/fʊl/
gol,empty,adjective,/ɡol/,/ˈempti/
deschis,open,adjective,/des.ˈkis/,/ˈoʊpən/
închis,closed,adjective,/ɨn.ˈkis/,/kloʊzd/
curat,clean,adjective,/ku.ˈrat/,/kliːn/
murdar,dirty,adjective,/mur.ˈdar/,/ˈdɜːrti/
sigur,sure/safe,adjective,/ˈsi.ɡur/,/ʃʊər | seɪf/
periculos,dangerous,adjective,/pe.ri.ku.ˈlos/,/ˈdeɪndʒərəs/
important,important,adjective,/im.por.ˈtant/,/ɪmˈpɔːrtənt/
posibil,possible,adjective,/po.ˈsi.bil/,/ˈpɒsɪbəl/
imposibil,impossible,adjective,/im.po.ˈsi.bil/,/ɪmˈpɒsɪbəl/
diferit,different,adjective,/di.fe.ˈrit/,/ˈdɪfrənt/
simplu,simple,adjective,/ˈsim.plu/,/ˈsɪmpəl/
gata,ready,adjective,/ˈɡa.ta/,/ˈredi/
liber,free,adjective,/ˈli.ber/,/friː/
ocupat,busy/occupied,adjective,/o.ku.ˈpat/,/ˈbɪzi | ˈɒkjupaɪd/
singur,alone,adjective,/ˈsin.ɡur/,/əˈloʊn/
alb,white,adjective,/alb/,/waɪt/
negru,black,adjective,/ˈne.ɡru/,/blæk/
roșu,red,adjective,/ˈro.ʃu/,/red/
albastru,blue,adjective,/al.ˈbas.tru/,/bluː/
verde,green,adjective,/ˈver.de/,/ɡriːn/
galben,yellow,adjective,/ˈɡal.ben/,/ˈjeloʊ/
drept,right/straight,adjective,/drept/,/raɪt | streɪt/
stâng,left,adjective,/stɨnɡ/,/left/
dulce,sweet,adjective,/ˈdul.t͡ʃe/,/swiːt/
amar,bitter,adjective,/a.ˈmar/,/ˈbɪtər/
proaspăt,fresh,adjective,/ˈpro̯as.pət/,/freʃ/
perfect,perfect,adjective,/per.ˈfekt/,/ˈpɜːrfɪkt/
normal,normal,adjective,/nor.ˈmal/,/ˈnɔːrməl/
foarte,very,adverb,/ˈfo̯ar.te/,/ˈveri/
bine,well,adverb,/ˈbi.ne/,/wel/
aici,here,adverb,/a.ˈit͡ʃʲ/,/hɪər/
acolo,there,adverb,/a.ˈko.lo/,/ðer/
acum,now,adverb,/a.ˈkum/,/naʊ/
apoi,then,adverb,/a.ˈpoj/,/ðen/
astăzi,today,adverb,/as.ˈtə.zʲ/,/təˈdeɪ/
ieri,yesterday,adverb,/jerʲ/,/ˈjestərdeɪ/
mâine,tomorrow,adverb,/ˈmɨj.ne/,/təˈmɒroʊ/
întotdeauna,always,adverb,/ɨn.tot.de̯a.ˈu.na/,/ˈɔːlweɪz/
niciodată,never,adverb,/ni.t͡ʃo.ˈda.tə/,/ˈnevər/
uneori,sometimes,adverb,/u.ne.ˈorʲ/,/ˈsʌmtaɪmz/
adesea,often,adverb,/a.de.ˈse̯a/,/ˈɒfən/
repede,quickly,adverb,/ˈre.pe.de/,/ˈkwɪkli/
încet,slowly,adverb,/ɨn.ˈt͡ʃet/,/ˈsloʊli/
sus,up,adverb,/sus/,/ʌp/
jos,down,adverb,/ʒos/,/daʊn/
înainte,before/forward,adverb,/ɨ.na.ˈin.te/,/bɪˈfɔːr | ˈfɔːrwərd/
aproape,near/almost,adverb,/a.ˈpro̯a.pe/,/nɪər | ˈɔːlmoʊst/
departe,far,adverb,/de.ˈpar.te/,/fɑːr/
mult,much/a lot,adverb,/mult/,/mʌtʃ | ə lɒt/
puțin,little/few,adverb,/pu.ˈt͡sin/,/ˈlɪtəl | fjuː/
destul,enough,adverb,/des.ˈtul/,/ɪˈnʌf/
poate,maybe,adverb,/ˈpo̯a.te/,/ˈmeɪbi/
încă,still/yet,adverb,/ˈɨn.kə/,/stɪl | jet/
tocmai,just/exactly,adverb,/ˈtok.maj/,/dʒʌst | ɪɡˈzæktli/
imediat,immediately,adverb,/i.me.di.ˈat/,/ɪˈmiːdiətli/
devreme,early,adverb,/de.ˈvre.me/,/ˈɜːrli/
târziu,late,adverb,/tɨr.ˈzju/,/leɪt/
împreună,together,adverb,/ɨm.pre.ˈu.nə/,/təˈɡeðər/
afară,outside,adverb,/a.ˈfa.rə/,/ˌaʊtˈsaɪd/
înăuntru,inside,adverb,/ɨ.nə.ˈun.tru/,/ˌɪnˈsaɪd/
peste tot,everywhere,adverb,/ˈpes.te tot/,/ˈevrɪwer/
nicăieri,nowhere,adverb,/ni.kə.ˈjerʲ/,/ˈnoʊwer/
altfel,otherwise,adverb,/ˈalt.fel/,/ˈʌðərwaɪz/
desigur,of course,adverb,/de.ˈsi.ɡur/,/əv kɔːrs/
probabil,probably,adverb,/pro.ˈba.bil/,/ˈprɒbəbli/
bună ziua,hello/good day,greeting,/ˈbu.nə ˈzi.wa/,/həˈloʊ | ɡʊd deɪ/
bună dimineața,good morning,greeting,/ˈbu.nə di.mi.ˈne̯a.t͡sa/,/ɡʊd ˈmɔːrnɪŋ/
